"OVERLAP_PROXIMAL_CLOSEST_GENES"	"histotype"
"ZNF319"	"MOC"
"ZSCAN21"	"MOC"
"ZBTB12"	"MOC"
"HOXC9"	"MOC"
"HOXC8"	"MOC"
"HES2"	"MOC"
"FOXA3"	"MOC"
"MYPOP"	"MOC"
"HOXC10"	"MOC"
"HOXC11"	"MOC"
"ZFP1"	"MOC"
"FOXK2"	"MOC"
"MXI1"	"MOC"
"ZNF296"	"MOC"
"RCOR2"	"MOC"
"KLF5"	"MOC"
"GRHL2"	"MOC"
"TEAD1"	"MOC"
"BCL11A"	"MOC"
"VSX1"	"MOC"
"RFX1"	"MOC"
"JRK"	"MOC"
"ZBTB7C"	"MOC"
"ZNF646"	"MOC"
"ZNF668"	"MOC"
"ZNF598"	"MOC"
"IRF7"	"MOC"
"FOXQ1"	"MOC"
"FOXA2"	"MOC"
"CDX2"	"MOC"
"FOXA1"	"MOC"
"MESP1"	"MOC"
"HOXC12"	"MOC"
"PDX1"	"MOC"
